School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
P.S. 151 - QUEENS,Q,30,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,5164000,CIP,Q151,50-05 31 AVENUE,Queens,11377,QUEENS,40.757499,-73.908898,1,1,163,4014094,4007520001,Astoria,"(40.757499, -73.908898)"
I.S. 14 - BROOKLYN,K,22,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,8219000,CIP,K014,2424 BATCHELDER STREET,Brooklyn,11235,BROOKLYN,40.593521,-73.937672,15,15,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.593521, -73.937672)"
P.S. 50 - MANHATTAN,M,4,EXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,15829000,CIP,M050,433 EAST 100 STREET,Manhattan,10029,MANHATTAN,40.785258,-73.941526,11,11,162,1083933,1016940001,East Harlem South,"(40.785258, -73.941526)"
P.S. 217 - BROOKLYN,K,22,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,10807450,CIP,K217,1100 NEWKIRK AVENUE,Brooklyn,11230,BROOKLYN,40.63398,-73.966558,14,14,526,3121072,3052320001,Flatbush,"(40.63398, -73.966558)"
P.S. 333 - QUEENS,Q,27,SANDY NEW A/C CHILLERS,1278870.32,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS,40.593967,-73.786182,14,14,97204,4301929,4158940011,Hammels-Arverne-Edgemere,"(40.593967, -73.786182)"
P.S. 150 - BROOKLYN,K,23,EXTERIOR MASONRY DEFECTS/FLOOD ELIMINATION/PARAPET,4415000,CIP,K150,364 SACKMAN STREET,Brooklyn,11212,BROOKLYN,40.66896,-73.904726,16,16,908,3084012,3037440009,Brownsville,"(40.66896, -73.904726)"
P.S. 377 - BROOKLYN,K,32,LL 41-16 COMPLIANCE,44175.77,CIP,K377,200 WOODBINE STREET,Brooklyn,11221,BROOKLYN,40.694018,-73.915263,4,4,415,3076784,3033600001,Bushwick South,"(40.694018, -73.915263)"
I.S. 104 - MANHATTAN,M,2,FY17 RESO A SUPPLEMENTAL COOLING,524400,CIP,M104,330 EAST 21 STREET,Manhattan,10010,MANHATTAN,40.736094,-73.980663,6,6,64,1081671,1009260001,Gramercy,"(40.736094, -73.980663)"
P.S. 63 - MANHATTAN,M,1,FY17 RESO A SECURITY CAMERAS,466000,CIP,M063,121 EAST 3 STREET,Manhattan,10009,MANHATTAN,40.724117,-73.986381,3,3,32,1005760,1004310014,East Village,"(40.724117, -73.986381)"
P.S. 333 - MANHATTAN,M,3,EXTERIOR MASONRY/ROOFS/PARAPETS,11148891,CIP,M118,154 WEST 93 STREET,Manhattan,10025,MANHATTAN,40.791728,-73.970845,7,7,177,1032522,1012230005,Upper West Side,"(40.791728, -73.970845)"
Q721 SPED - QUEENS,Q,24,EXTERIOR MASONRY/ROOFS,4300000,CIP,Q722,57-12 94TH STREET,Queens,11373,QUEENS,40.736003,-73.867478,4,4,683,4462647,4018730050,Elmhurst,"(40.736003, -73.867478)"
P.S. 11 - BRONX,X,9,DEFECTIVE RETAINING WALL & PAVEMENTS,2500000,CIP,X011,1257 OGDEN AVENUE,Bronx,10452,BRONX,40.839378,-73.925714,4,4,201,2003519,2025290081,Highbridge,"(40.839378, -73.925714)"
P.S. 92 - MANHATTAN,M,5,COLLASPED WALL,4621599,CIP,M092,222 WEST 134 STREET,Manhattan,10030,MANHATTAN,40.815016,-73.945123,10,10,226,1058808,1019390011,Central Harlem North-Polo Grounds,"(40.815016, -73.945123)"
P.S. 29 - BRONX,X,7,ROOFS/FLOOD ELIMINATION/EXT MASONRY/PARAPETS,6800100,CIP,X029,758 COURTLANDT AVENUE,Bronx,10451,BRONX,40.821515,-73.917279,1,1,69,2001736,2024030001,Melrose South-Mott Haven North,"(40.821515, -73.917279)"
P.S. 143 - QUEENS,Q,24,Addition,0,CAP,Q143,34-74 113 STREET,Queens,11368,QUEENS,40.755451,-73.855192,3,3,381,4043827,4017560025,North Corona,"(40.755451, -73.855192)"
J.H.S. 185 - QUEENS,Q,25,IP DIGITAL VIDEO SURVEILLANCE SYSTEMS,260000,CIP,Q185,147-26 25 DRIVE,Queens,11354,QUEENS,40.775253,-73.819347,7,7,1047,4108664,4048020001,Murray Hill,"(40.775253, -73.819347)"
NEW DORP HS - STATEN ISLAND,R,31,ATHLETIC FIELDS,7825000,CIP,R436,465 NEW DORP LANE,Staten Island,10306,STATEN IS,40.569393,-74.107737,2,2,11202,5055367,5039300010,New Dorp-Midland Beach,"(40.569393, -74.107737)"
THE INTERNATIONAL HS - BROOKLY,K,17,MASONRY/WINDOWS/PARAPETS/ROOFS/FLOOD ELIMINATION,20937000,CIP,K440,883 CLASSON AVENUE,Brooklyn,11225,BROOKLYN,40.670349,-73.961695,9,9,213,3029686,3011870001,Crown Heights South,"(40.670349, -73.961695)"
P.S. 42 - BRONX,X,9,FLOOD ELIMINATION/PARAPETS/EXTERIOR MASONRY/ROOFS,4880000,CIP,X042,1537 WASHINGTON AVENUE,Bronx,10457,BRONX,40.838288,-73.902987,3,3,169,2009466,2029030023,Claremont-Bathgate,"(40.838288, -73.902987)"
P.S. 54 - BRONX,X,10,FYRESO A PLAYGROUNDS,319000,CIP,X054,2703 WEBSTER AVENUE,Bronx,10458,BRONX,40.864527,-73.887829,7,7,40502,2113630,2032780014,Bedford Park-Fordham North,"(40.864527, -73.887829)"
P.S. 19 - QUEENS,Q,24,Addition,0,CAP,Q019,98-02 ROOSEVELT AVENUE,Queens,11368,QUEENS,40.749381,-73.867354,4,4,409,4437176,4016070001,North Corona,"(40.749381, -73.867354)"
P.S. 45 - BROOKLYN,K,32,LSP VACUUM PUMPS,345900,CIP,K045,84 SCHAEFER STREET,Brooklyn,11207,BROOKLYN,40.686746,-73.910693,4,4,401,3079428,3034270011,Bushwick South,"(40.686746, -73.910693)"
PERFORMING ARTS AND TECH. HS -,K,19,WATER INFILTRATION,2648000,CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207,BROOKLYN,40.667456,-73.894747,5,5,1156,3084440,3037880001,East New York (Pennsylvania Ave),"(40.667456, -73.894747)"
